ChargerID,stationName,stationNamePoint,lat,lng,เลขถนน,ชื่อ ถนน (x),ตำบล,อำเภอ,จังหวัด,avg_ev_num_weekly_65,min_ev_num_weekly_65,max_ev_num_weekly_65,avg_res_ev_num_weekly_65,min_res_ev_num_weekly_65,max_res_ev_num_weekly_65,avg_trav_ev_num_weekly_65,min_trav_ev_num_weekly_65,max_trav_ev_num_weekly_65,avg_ev_num_weekly_66,min_ev_num_weekly_66,max_ev_num_weekly_66,avg_res_ev_num_weekly_66,min_res_ev_num_weekly_66,max_res_ev_num_weekly_66,avg_trav_ev_num_weekly_66,min_trav_ev_num_weekly_66,max_trav_ev_num_weekly_66,num_lw7_seats_veh_yearly_65,num_lw7_seats_veh_yearly_66
T54-IT3-4522-291,PEA VOLTA บางจาก ไชโย #1,PEA VOLTA บางจาก ไชโย,14.66522598,100.4726105,32,32,ตำบล จรเข้ร้อง,อำเภอไชโย,อ่างทอง,6,0,16,24,23,24,6,1,16,63,23,170,63,23,170,14,6,19,20951,28007
T54-IT3-4722-180,PEA VOLTA บางจาก ไชโย #2,PEA VOLTA บางจาก ไชโย,14.66522598,100.4726105,32,32,ตำบล จรเข้ร้อง,อำเภอไชโย,อ่างทอง,6,0,16,24,23,24,6,1,16,44,11,112,51,21,112,14,11,19,20951,28007
T54-IT3-4522-288,PEA VOLTA บางจาก ถลาง #1,PEA VOLTA บางจาก ถลาง,7.98455,98.35947418,402,ถ. ศรีสุนทร,ตำบล ศรีสุนทร,อำเภอถลาง,ภูเก็ต,6,0,16,24,23,24,6,1,16,112,27,270,112,27,270,14,6,19,27618,27556
T54-IT3-4622-252,PEA VOLTA บางจาก ท่าวุ้ง #1,PEA VOLTA บางจาก ท่าวุ้ง,14.81724644,100.5087128,311,ลพบุรี-สิงห์บุรี,ตำบล ท่าวุ้ง,อำเภอท่าวุ้ง,ลพบุรี,6,0,16,24,23,24,6,1,16,31,8,70,35,22,70,13,8,15,18375,18915
T54-IT3-4622-299,PEA VOLTA บางจาก ท่าวุ้ง #2,PEA VOLTA บางจาก ท่าวุ้ง,14.81724644,100.5087128,311,ลพบุรี-สิงห์บุรี,ตำบล ท่าวุ้ง,อำเภอท่าวุ้ง,ลพบุรี,6,0,16,24,23,24,6,1,16,33,12,54,36,23,54,15,12,18,18375,18915
T54-IT3-4322-196,PEA VOLTA บางจาก ท่าใหม่ ขาเข้า กม.307 #1,PEA VOLTA บางจาก ท่าใหม่ ขาเข้า กม.307,12.71715832,101.9769516,3,ถ.สุขุมวิท,ตำบล ทุ่งเบญจา,อำเภอท่าใหม่,จันทบุรี,6,0,16,24,23,24,6,1,16,24,7,48,30,22,48,13,7,19,7545,32527
T54-IT3-4622-223,PEA VOLTA บางจาก ท่าใหม่ ขาเข้า กม.307 #2,PEA VOLTA บางจาก ท่าใหม่ ขาเข้า กม.307,12.71715832,101.9769516,3,ถ.สุขุมวิท,ตำบล ทุ่งเบญจา,อำเภอท่าใหม่,จันทบุรี,6,0,16,24,23,24,6,1,16,16,8,26,24,22,26,13,8,19,7545,32527
T54-IT3-4122-258,PEA VOLTA บางจาก ทุ่งใหญ่ #2,PEA VOLTA บางจาก ทุ่งใหญ่,8.37024307,99.41680145,41,ถ.ทางหลวง 41,ต.ทุ่งใหญ่,อำเภอ ทุ่งใหญ่,นครศรีธรรมราช,6,0,16,24,23,24,6,1,16,24,5,78,34,21,78,14,5,19,17835,22693
T54-IT3-4422-189,PEA VOLTA บางจาก นาวัง #1,PEA VOLTA บางจาก นาวัง,17.32109261,102.1090469,210,210,ตำบล เทพคีรี,อำเภอ นาวัง,หนองบัวลำภู,6,0,16,24,23,24,6,1,16,13,0,26,25,24,26,12,1,19,14804,14902
T54-IT3-4722-186,PEA VOLTA บางจาก นาวัง #2,PEA VOLTA บางจาก นาวัง,17.32109261,102.1090469,210,210,ตำบล เทพคีรี,อำเภอ นาวัง,หนองบัวลำภู,6,0,16,24,23,24,6,1,16,15,3,33,27,22,33,11,3,19,14804,14902
T54-IT3-4622-230,PEA VOLTA บางจาก บางกล่ำ #2,PEA VOLTA บางจาก บางกล่ำ,7.02336311,100.404808,4,ถ.เพชรเกษม,ตำบล ท่าช้าง,อำเภอบางกล่ำ,สงขลา,6,0,16,24,23,24,6,1,16,41,9,98,46,22,98,14,9,17,54094,61308
T54-IT3-4322-210,PEA VOLTA บางจาก บางน้ำเปรี้ยว #1,PEA VOLTA บางจาก บางน้ำเปรี้ยว,13.87193966,101.0443955,3001,นย.3001,ตำบล หมอนทอง,อำเภอบางน้ำเปรี้ยว,ฉะเชิงเทรา,6,0,16,24,23,24,6,1,16,15,4,34,26,21,34,11,4,18,,9391
T54-IT3-4022-246,PEA VOLTA บางจาก บางน้ำเปรี้ยว #2,PEA VOLTA บางจาก บางน้ำเปรี้ยว,13.87193966,101.0443955,3001,นย.3001,ตำบล หมอนทอง,อำเภอบางน้ำเปรี้ยว,ฉะเชิงเทรา,6,0,16,24,23,24,6,1,16,8,1,23,23,23,23,8,1,16,,9391
T54-IT3-4422-188,PEA VOLTA บางจาก บางปะหัน #1,PEA VOLTA บางจาก บางปะหัน,14.49155426,100.5246048,32,AH2,ตำบล ตานิม,อำเภอบางปะหัน,พระนครศรีอยุธยา,6,0,16,24,23,24,6,1,16,54,15,136,56,30,136,15,15,15,79755,81670
